shoesIDX,shoesID,pro_name
223,1011A633-020,GEL-NIMBUS 21 Winterized
224,1011A634-400,GEL-CUMULUS 21 LITE-SHOW
225,1011A635-300,GEL-CUMULUS 21 Winterized
226,1011A636-750,GEL-KAYANO 26 KAI
227,1011A644-200,GEL-Kayano 25 RC
228,1011A645-001,GEL-PULSE 11 LITE-SHOW
229,1011A647-020,GEL-Nimbus 21
230,1011A688-400,GT-2000 8 (4E)
231,1011A690-020,GT-2000 8
232,1011A690-400,GT-2000 8
233,1011A691-400,GT-2000 8 (2E)
234,1011A707-001,GEL-PULSE 11 Winterized
235,1011A708-001,GEL-PULSE 11 (4E)
236,1011A708-002,GEL-PULSE 11 (4E)
237,1011A709-020,GEL-NIMBUS 21 Platinum
238,1011A711-600,TARTHEREDGE TENKA
239,1011A712-400,GEL-KAYANO 26 SP
240,1011A713-001,GT-2000 7 SP
241,1011A714-100,GEL-NIMBUS 21 SP
242,1011A715-020,GEL-CUMULUS 21 SP
243,1011A718-600,LYTERACER
244,1011A726-020,GEL-Kayano 25 (4E)
245,1011A761-020,GEL-KAYANO 26 Platinum
246,1011A763-001,GEL-CUMULUS 21
247,1011A764-400,GEL-DS TRAINER 24
248,1011A806-020,GEL-KAYANO 26
249,1011A808-021,GEL-CUMULUS 21
250,1011A817-001,GLIDERIDE
251,1011A817-400,GLIDERIDE
252,1011A817-600,GLIDERIDE
253,1011A881-001,GEL-CUMULUS 21
254,1011A882-001,GEL-PULSE 11
255,1011A883-001,GEL-KAYANO 26
256,1012A002-001,DynaFlyte 3
257,1012A002-002,DynaFlyte 3
258,1012A002-020,DynaFlyte 3
259,1012A002-400,DynaFlyte 3
260,1012A002-401,DynaFlyte 3
261,1012A002-700,DynaFlyte 3
262,1012A006-401,GEL-CUMULUS 20 WIDE
263,1012A008-002,GEL-Cumulus 20
264,1012A008-020,GEL-Cumulus 20
265,1012A008-021,GEL-Cumulus 20
266,1012A008-300,GEL-Cumulus 20
267,1012A008-400,GEL-Cumulus 20
268,1012A008-401,GEL-Cumulus 20
269,1012A008-402,GEL-Cumulus 20
270,1012A008-700,GEL-Cumulus 20
271,1012A019-020,GEL-KAYANO 25 NARROW
272,1012A026-001,GEL-Kayano 25
273,1012A026-002,GEL-Kayano 25
274,1012A026-003,GEL-Kayano 25
275,1012A026-020,GEL-Kayano 25
276,1012A026-022,GEL-Kayano 25
277,1012A026-400,GEL-Kayano 25
278,1012A026-401,GEL-Kayano 25
279,1012A026-402,GEL-Kayano 25
